	prevalence	gene	lifestyle
1705	0.9791666666666666	gene__K03565	westernized
1617	0.8311688311688312	gene__K03565	westernized
1636	0.8372093023255814	gene__K03565	westernized
1701	0.918918918918919	gene__K03565	westernized
1614	0.8461538461538461	gene__K03565	westernized
1657	0.975	gene__K03565	westernized
1666	0.9090909090909091	gene__K03565	westernized
1644	0.6645161290322581	gene__K03565	westernized
4260	0.38461538461538464	gene__K03565	westernized
4418	0.7580645161290323	gene__K03565	westernized
1613	0.9061488673139159	gene__K03565	westernized
1677	0.8108108108108109	gene__K03565	westernized
4670	0.8561151079136691	gene__K03565	westernized
5083	0.8222222222222222	gene__K03565	westernized
6173	0.8181818181818182	gene__K03565	westernized
6174	0.71875	gene__K03565	westernized
6179	0.6363636363636364	gene__K03565	westernized
5858	0.8761904761904762	gene__K03565	westernized
4826	0.9108695652173913	gene__K03565	westernized
6148	0.6567164179104478	gene__K03565	westernized
4820	0.8697318007662835	gene__K03565	westernized
6847	0.8947368421052632	gene__K03565	westernized
8021	0.8804347826086957	gene__K03565	westernized
8018	0.8777777777777778	gene__K03565	westernized
7968	0.8636363636363636	gene__K03565	westernized
5190	0.8463356973995272	gene__K03565	westernized
14379	0.75	gene__K03565	westernized
6191	0.8985507246376812	gene__K03565	westernized
4936	0.8862559241706162	gene__K03565	westernized
5082	0.9917469050894085	gene__K03565	westernized
4940	0.9819277108433735	gene__K03565	westernized
8007	0.745958429561201	gene__K03565	westernized
14809	0.5043103448275862	gene__K03565	westernized
17249	0.035211267605633804	gene__K03565	westernized
15053	0.9056122448979592	gene__K03565	westernized
17256	0.3686708860759494	gene__K03565	westernized
